coin name,symbol,price (USD),1h change (%),24h change (%),market cap,volume (24h) USD,circulating supply
Bitcoin,BTC,82567.31557497529,-0.1125322,-6.42536895,1649877108686.1648,79431371927.59077,19982206.0
Ethereum,ETH,2721.2855990224457,-0.48012496,-7.89266587,328443547573.0317,44450877161.72728,120694258.51186545
Tether USDt,USDT,0.9983500969314371,0.00915766,-0.00357581,185541095501.9674,146962642926.80096,185847726235.76926
BNB,BNB,840.1668082951498,-0.63475939,-6.78413646,114565293344.38481,4383074905.187446,136360175.4
XRP,XRP,1.739230493484252,-0.92487493,-7.65812505,105837799045.08362,5464903595.578541,60853233336.0
USDC,USDC,0.9996187471050558,-0.00219876,-0.00543883,70177276643.16154,17960088237.61725,70204042137.46324
Solana,SOL,113.99156631741066,-0.87650913,-7.7958635,64540866308.95568,7375324263.619132,566189836.6168686
TRON,TRX,0.29089056752824666,-0.29139744,-0.98432904,27552158283.603786,786816172.7206984,94716575094.61307
Dogecoin,DOGE,0.11296624772353477,-1.25051806,-7.43855387,19038047318.28584,2006479617.2378588,168528633126.57907
Cardano,ADA,0.32187970961639667,-1.16377815,-8.44883161,11602513435.639847,794079261.174027,36046116263.33097
Bitcoin Cash,BCH,542.2137218574026,-0.55072155,-6.27941781,10837630624.637417,530946324.44768906,19987746.875
Hyperliquid,HYPE,28.707625974095933,-1.32833928,-12.14232892,8671766921.531128,787525269.7361081,302071893.0
UNUS SED LEO,LEO,9.205469954237657,-0.05640152,-0.00377141,8484618819.362393,872988.87101454,921693173.9
Monero,XMR,429.43237490085437,-2.24967512,-9.43072934,7921629116.7613535,121732959.29968712,18446744.07370955
Chainlink,LINK,10.722927996948924,-1.31349626,-7.77234142,7592904997.804747,621800583.8113819,708099970.4525867
Ethena USDe,USDe,0.9983160052300473,0.0015742,-0.03488123,6573580022.227904,145060672.14089808,6584668569.661086
Canton,CC,0.17248663983403223,0.16308017,6.20692442,6482504382.792544,45347434.17538539,37582646337.30504
Stellar,XLM,0.19217494486535358,-1.03447222,-6.84286944,6248281132.954979,202528047.55254573,32513505531.810123
Zcash,ZEC,332.53905684042877,-1.26210393,-8.97365764,5490407019.839828,477191041.44196737,16510562.9155448
Dai,DAI,0.9996616369574652,0.01024674,-0.00437474,5363567255.449235,185735476.12897056,5365382702.664872
World Liberty Financial USD,USD1,0.9990664590439667,0.01834668,-0.0465832,5041556524.38676,2331998634.426074,5046267421.700013
Litecoin,LTC,63.62807646327003,-0.80887057,-6.82957994,4886087208.7486315,558188942.3033718,76791370.73347135
Sui,SUI,1.2751612129412626,-1.26078607,-6.78987166,4835644769.3239975,1182653618.2361476,3792183074.7738876
